,logFC,logCPM,F,PValue
GPRC5A,8.79617317249946,7.24764323064657,10.7917192626223,0.00795923278863835
TGFBI,7.42635054722403,6.02799909943032,8.2572355304343,0.0161835414169857
PRSS3,7.035128501818,5.7115644317876,6.63121143550436,0.0271543205784337
PLAU,6.91975549640869,9.08932873263668,7.34781035765185,0.015931518916009
PAOX,6.31799751377744,5.12089223289642,8.05117820564874,0.0172281271936219
CHST3,4.51328083597569,4.11739585379327,4.99704479522259,0.0487695099676305
ARHGAP33,3.31116436170944,3.71283064108276,4.59221675070253,0.0570987001496377
ESAM,3.25283729351892,5.08905150773275,2.59673910454575,0.127585143975283
CEACAM5,2.95133192738274,3.63514727696525,3.7214770076218,0.0818484470466397
ITGB8,2.95012284129344,9.13758144772313,4.05277000830147,0.0621006928404595
CPVL,2.91310585681776,3.60770185675653,3.36012882834919,0.0959646999598133
PC,2.90363621030102,6.92654167827741,1.91523735004025,0.186305678285716
SDC3,2.89269792785404,4.61543068151181,2.00337058046144,0.177048668431688
SLC6A14,2.66270318898007,5.01761301966605,1.614590318793,0.222892324215242
STC1,2.56034879295163,3.882082814849,2.10102374909936,0.167455116692889
RPL39L,2.39789347459646,7.20265459908854,3.48583752975111,0.0812418945241862
TRIM9,2.37187448739811,3.52649010543363,2.78248349761972,0.125521854640497
ZNF296,2.2787208270606,5.88962020307469,1.22705426219852,0.285148383601779
ADM,2.24214323180316,3.51348725153899,2.966344290086,0.115003433636151
C16orf91,2.23088292984793,7.40570776315074,2.84940363101309,0.111749134031862
COMT,2.20444306154188,8.85807528127203,3.85752035395421,0.0680211103949021
IGFBP3,2.13125932480427,9.76425484341751,1.07473764497427,0.316039013626409
ZNF185,2.11883158687778,7.54173647937816,1.84570213471317,0.194043544785385
ARHGDIB,1.87884307496075,10.57435981234,6.36571279978708,0.0232020222868038
COX6C,1.75736540099173,9.54576213014931,10.0090767852715,0.00631695993351614
DDIT4,1.69266863769313,9.7854532080518,0.86193953297313,0.367660304099018
NME1,1.61352451507776,9.74777532347923,3.57272299506492,0.0778970104293432
LRRC8A,1.5863409743,9.70383641945243,5.59682273361542,0.0316417443218312
KCNN4,1.58140652676859,8.37099665092707,0.949627345866567,0.345020753678857
PMAIP1,1.53100999681329,8.13665556785728,0.992493150920263,0.334681031529947
CRYL1,1.51892173427111,6.7638456188102,0.82492546955831,0.377875129481502
KRT81,1.49646253223229,13.366681534799,1.08556917753384,0.313693348417487
NDUFS7,1.46483787835504,9.31715243638028,2.10915953287118,0.166685484138069
ST6GALNAC6,1.38366023499955,6.13715767246024,0.540268423877359,0.473475364411489
GEM,1.35532553555938,4.27199675905135,0.521905257339449,0.480963751752765
